,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
batch_metrics_iLISI,1.0,1.518709659576416,1.876702785491944,1.2427189350128174,1.5608386993408203,1.0872023105621338,1.604387879371643,1.5136245489120483,1.7617655992507937,1.6772385835647583,1.422785997390747,1.7056207656860352,1.820481538772583,1.617043137550354,1.410656213760376,1.851901650428772,1.120146870613098,1.4208036661148071,1.569088101387024,1.0067342519760132,1.7315889596939087,1.5624613761901855,1.4782633781433103,1.7634869813919067,1.6414626836776731,1.7980355024337769,1.8475934267044067,1.000000238418579,1.0000001192092896,1.4238100051879885,1.0,1.6920578479766846,1.805734634399414,1.690837025642395,1.501345157623291
batch_metrics_ASW_batch,0.8659442067146301,0.9707182049751282,0.9900398254394532,0.9742557406425476,0.9847830533981324,0.9231360554695128,0.9608780145645142,0.9572733044624328,0.9414386749267578,0.9249142408370972,0.97501403093338,0.9794185757637024,0.9775447845458984,0.9808497428894044,0.9303332567214966,0.9669930338859558,0.9558361768722534,0.9721571803092957,0.9786203503608704,0.9072712659835817,0.9602600336074828,0.9516428709030152,0.9240485429763794,0.9799588918685912,0.9749811887741088,0.8843919038772583,0.964758276939392,0.8600349426269531,0.9001978039741516,0.9569727778434752,0.8709486722946167,0.9789477586746216,0.9370416402816772,0.9800208806991576,0.9288686513900756
batch_metrics_PCR_comparison,0.0,0.9913425150157548,0.998798940365854,0.81758227243776,0.9163471331244696,0.0,0.5230107075841303,0.9871810453255075,0.7601599196572763,0.6904398091053313,0.5205228767372255,0.9544317811000748,0.9396207162215912,0.9984894976880992,0.9815118772277776,0.987277587366402,0.363528331962151,0.9798101872674674,0.9989751626229686,0.0,0.8880161797216868,0.99368482721408,0.946476893997896,0.9746611254978172,0.9986241208154976,0.9739835456090764,0.9872942129333724,0.0,0.0,0.9999983485838404,0.0,0.917396998643298,0.9648894800344674,0.9979290031977536,0.8440311923708947
batch_metrics_kBET,0.0007334546183274,0.3890416804604119,0.7765683798277273,0.2919894685409703,0.6290423293333405,0.1051511222960314,0.5006469266033619,0.3811608279514131,0.5667578737031359,0.504163015020576,0.4297837091101376,0.5691277165585596,0.6904523181403359,0.7395496865885305,0.4170327780113679,0.6112491427876854,0.1974346866808856,0.4369204533502895,0.5768431150717679,0.0350779186794835,0.5491361529679105,0.4860281450148451,0.2698235409199815,0.6478720196655277,0.619775722915735,0.2170573910367125,0.7347333697013919,0.0854884664668868,0.0040402447688496,0.4608458752968304,0.0025397551714318,0.5881165553650748,0.1385502923935774,0.6705618562252147,0.344989082283004
batch_metrics_graph_connectivity,0.7971214281457982,0.9125415857800993,0.6787018467572115,0.9582309330191056,0.5267185767615582,0.6842307534350595,0.574288643908447,0.9663996517258048,0.3922912248775545,0.2741034231291291,0.6223633356740568,0.6331391113793714,0.7685490753978461,0.5449964572358598,0.951524250878529,0.6154183430491609,0.9265959515467505,0.9521089450724805,0.9214570369100352,0.7420736907542348,0.606324359438666,0.8266207891020828,0.7954281545896629,0.8563450735470161,0.743906468180475,0.1386326273259229,0.4903943117910162,0.7070303050701034,0.9018857503456308,0.914179221969144,0.6266519997110076,0.9206504799087606,0.1003395542245911,0.7459459832807552,0.8522888147490726
bio_metrics_ARI_kmeans,0.384330878282404,0.2037035892623006,0.1140982145847576,0.3541851100040362,0.1606100077609261,0.1007434162534005,0.1061793151526022,0.3641898976385889,0.0304865043603484,0.0604359375133592,0.1135967285001864,0.1544534226232767,0.1680765474350728,0.1976491355137594,0.3822435030727832,0.141821512208336,0.31619318846256,0.4042391148949953,0.316399014416469,0.3126284930445502,0.2109516590088567,0.3402449729892135,0.3585684870722985,0.2352219433286621,0.2575613014569131,0.0110050223458136,0.1279784808717471,0.2577724556983227,0.3524570985544785,0.4423439135252602,0.3302781828180755,0.4332151458143454,0.0143084868917371,0.2555358368624467,0.4817836335865644
bio_metrics_ARI_mclust,0.3646776280341497,0.2323474503107208,0.1001213119799867,0.356404871874711,0.1512061021256419,0.1480152854984027,0.1012436371729063,0.3971561145549872,0.020438620228581,0.0639741473509293,0.1245692783165229,0.1495489549316294,0.1517675224118213,0.230408293425927,0.3310109395385812,0.1051709795644064,0.332553219997508,0.4497197119441519,0.3195529279594474,0.1944071177825575,0.1918535370510313,0.3529500542295464,0.2726654122022268,0.3708266726984537,0.3127973524674699,0.0110568244920994,0.1277995603028416,0.2398336989514967,0.3961208216527491,0.3556680198038388,0.431008823909109,0.4417233223694823,0.0169665982306897,0.2140101975204921,0.5080784249110647
bio_metrics_ARI_leiden,0.3164346645380636,0.4934807794022459,0.2046666571736764,0.5296588733984466,0.1718011466887834,0.1497949554272607,0.1622207699807802,0.4690248424856666,0.0271811110195095,0.0299900344063435,0.1812550272389121,0.1950055491127793,0.2005483077101604,0.1400239828832677,0.6269108416849412,0.2203386800830916,0.5487171555052445,0.5135218510113047,0.5340599507133482,0.2011442984836153,0.2247227247969066,0.3285362927753862,0.3512657134440505,0.2567263771160432,0.3215462090934194,0.012771541609093,0.1271578112941018,0.255300097677882,0.3557594126560752,0.6177724399211814,0.3152132657430466,0.439926226065195,0.0158451695740077,0.2113426099817056,0.4500314692306293
bio_metrics_NMI_kmeans,0.5182057346108078,0.3333917431679351,0.1659609645396858,0.5307408705212207,0.2577922584466258,0.1632958787386939,0.1371097309963903,0.4905777568120484,0.0353569588659369,0.0877541570642001,0.1544260536154108,0.2449537032730527,0.2915867543520686,0.2762251242921948,0.5717332399301298,0.234944833786402,0.4410473017242912,0.5288843665394687,0.4422993609400805,0.4048097942528532,0.2896038706546877,0.4631295271306208,0.5073200612175616,0.365264167440905,0.4276486288333557,0.0248525392059707,0.2645437745184033,0.4672316952874587,0.467482179355454,0.5760373142078814,0.479610061559038,0.540669874958573,0.0351094703273217,0.3217190615583063,0.5923475173220965
bio_metrics_NMI_mclust,0.5292624591086803,0.409505573300423,0.1859703431700104,0.5582861497264582,0.3020096783034925,0.2158553412556637,0.1678402079435403,0.5549065694372423,0.0300177022313483,0.083320911217586,0.1863731050889756,0.2672793462670278,0.2969072196737481,0.290321718605468,0.5237407341250806,0.2083807884376587,0.4994709340590968,0.5904931258328519,0.5152551614016573,0.3446094730163515,0.2541514252418253,0.4782102203841854,0.4283412306328184,0.5189419895481897,0.5013057670499821,0.0184811640931397,0.2647513971501136,0.4448439815277045,0.5261777437307759,0.5278284689100445,0.5717406244560539,0.5849961201831402,0.0280881292030829,0.2856160190981842,0.6146815592912982
